ind,Province/State,Country/Region,Lat,Long,datetime,confirmed_case
490,Washington,US,47.7511,-120.74,2020-01-28,1.0
491,Illinois,US,40.6331,-89.3985,2020-01-28,1.0
492,California,US,36.7783,-119.41799999999999,2020-01-28,2.0
493,Arizona,US,34.0489,-111.094,2020-01-28,1.0
494,Macau,Macau,22.1987,113.5439,2020-01-28,7.0
495,Hong Kong,Hong Kong,22.3193,114.1694,2020-01-28,8.0
496,,Singapore,1.3521,103.8198,2020-01-28,7.0
497,,Vietnam,21.0278,105.8342,2020-01-28,2.0
498,,France,46.2276,2.2137,2020-01-28,4.0
499,,Nepal,28.3949,84.124,2020-01-28,1.0
500,,Malaysia,4.2105,101.9758,2020-01-28,7.0
501,Ontario,Canada,43.6532,-79.3832,2020-01-28,1.0
502,British Columbia,Canada,49.2827,-123.12100000000001,2020-01-28,1.0
503,New South Wales,Australia,-33.8688,151.2093,2020-01-28,3.0
504,Victoria,Australia,-37.8136,144.9631,2020-01-28,1.0
505,Queensland,Australia,-27.4698,153.0251,2020-01-28,1.0
506,,Cambodia,12.5657,104.991,2020-01-28,1.0
507,,Sri Lanka,7.8731,80.7718,2020-01-28,1.0
508,Bavaria,Germany,51.1657,10.4515,2020-01-28,4.0
520,Anhui,Mainland China,31.825709999999997,117.2264,2020-01-29,200.0
521,Beijing,Mainland China,40.18238,116.4142,2020-01-29,111.0
522,Chongqing,Mainland China,30.05718,107.874,2020-01-29,165.0
523,Fujian,Mainland China,26.07783,117.9895,2020-01-29,101.0
524,Gansu,Mainland China,36.0611,103.8343,2020-01-29,26.0
525,Guangdong,Mainland China,23.33841,113.42200000000001,2020-01-29,311.0
526,Guangxi,Mainland China,23.829079999999998,108.7881,2020-01-29,78.0
527,Guizhou,Mainland China,26.81536,106.8748,2020-01-29,12.0
528,Hainan,Mainland China,19.19673,109.7455,2020-01-29,43.0
529,Hebei,Mainland China,38.0428,114.5149,2020-01-29,65.0
530,Heilongjiang,Mainland China,47.861999999999995,127.7622,2020-01-29,43.0
531,Henan,Mainland China,33.882020000000004,113.61399999999999,2020-01-29,278.0
532,Hubei,Mainland China,30.975640000000002,112.2707,2020-01-29,4586.0
533,Hunan,Mainland China,27.610409999999998,111.7088,2020-01-29,277.0
534,Inner Mongolia,Mainland China,44.09448,113.9456,2020-01-29,16.0
535,Jiangsu,Mainland China,32.97027,119.464,2020-01-29,129.0
536,Jiangxi,Mainland China,27.614009999999997,115.7221,2020-01-29,162.0
537,Jilin,Mainland China,43.66657,126.1917,2020-01-29,14.0
538,Liaoning,Mainland China,41.292840000000005,122.6086,2020-01-29,39.0
539,Ningxia,Mainland China,37.26923,106.1655,2020-01-29,12.0
540,Qinghai,Mainland China,35.65945,96.02564,2020-01-29,6.0
541,Shaanxi,Mainland China,35.19165,108.8701,2020-01-29,56.0
542,Shandong,Mainland China,36.34377,118.1529,2020-01-29,145.0
543,Shanghai,Mainland China,31.20327,121.4554,2020-01-29,101.0
544,Shanxi,Mainland China,37.577690000000004,112.2922,2020-01-29,35.0
545,Sichuan,Mainland China,30.617140000000003,102.7103,2020-01-29,142.0
546,Tianjin,Mainland China,39.293620000000004,117.333,2020-01-29,27.0
547,Tibet,Mainland China,30.1534,88.7879,2020-01-29,1.0
548,Xinjiang,Mainland China,41.11981,85.17822,2020-01-29,14.0
549,Yunnan,Mainland China,24.97411,101.4868,2020-01-29,55.0
550,Zhejiang,Mainland China,29.182509999999997,120.0985,2020-01-29,428.0
551,,Thailand,13.7563,100.5018,2020-01-29,14.0
552,,Japan,35.6762,139.6503,2020-01-29,11.0
553,,South Korea,37.5665,126.978,2020-01-29,4.0
